Velocity2,Rise_In_Insulin,CGM_Difference,Skewness,Variance,Max_Value,Min_Value,Mean_Value,Entropy,RMS,bins,kmeans_bins,dbscan_bins
5.0,255.4,0.25301204819277107,-0.0006129976511438707,834.7990487514862,312.0,221.0,269.45,3.36153037165963,274.84,4,4,4
7.0,133.53333333333333,0.8035714285714286,-0.5410180777238278,1765.5671819262773,202.0,55.0,143.14,3.319937474185105,150.38,5,1,5
1.0,192.0,0.09743589743589744,-0.1173510758020525,3181.0059453032104,214.0,78.0,146.45,3.289489974241273,163.36,4,5,6
-4.0,170.73333333333332,0.1457286432160804,0.47905414820905057,1275.629013079667,228.0,118.0,164.52,3.3442378785862954,170.34,5,5,4
-1.0,154.66666666666666,0.10588235294117647,-0.46906622405367904,869.039239001189,188.0,99.0,145.17,3.3457557560970663,152.69,4,5,4
1.0,180.46666666666667,0.10982658959537572,-0.48624953970816465,456.16646848989296,192.0,119.0,164.62,3.3586510003822707,163.57,5,5,4
-5.0,211.6,0.056910569105691054,-0.010406260258882293,4493.705112960761,260.0,90.0,172.86,3.2893583956360226,193.37,4,3,4
-7.0,212.73333333333335,0.18532818532818532,0.5261600410570447,3154.832342449465,307.0,132.0,200.83,3.3293110330659554,215.28,5,3,4
1.0,112.8,0.16260162601626016,-0.5130103673660567,289.40784780023773,143.0,92.0,119.62,3.356873190249029,123.25,4,1,2
-2.0,188.33333333333334,0.0,-0.11138686019419378,1349.422116527943,205.0,115.0,160.48,3.340592808806049,169.11,5,5,4
7.0,163.33333333333334,1.3172413793103448,-0.16132379995924023,7314.240190249703,336.0,86.0,229.03,3.2929552063816976,232.6,4,3,4
0.0,256.1333333333333,0.22761194029850745,-0.13289637178603536,4546.064209274673,329.0,120.0,223.93,3.320157231364799,243.28,5,3,4
1.0,159.93333333333334,0.19879518072289157,-0.9762904323794556,446.23543400713436,199.0,112.0,167.38,3.3589101616569343,173.49,4,5,4
-2.0,176.73333333333332,0.10552763819095477,-0.007750214789476778,693.7883472057074,220.0,138.0,174.93,3.3558869602343355,180.59,5,5,4
1.0,210.13333333333333,0.07692307692307693,-0.10593176812876795,1957.4149821640901,224.0,101.0,161.59,3.3287541674715904,172.18,4,5,4
-6.0,131.6,0.24561403508771928,0.7514350816350678,1633.1961950059451,213.0,83.0,132.9,3.3232748639004566,142.09,5,1,5
7.0,183.46666666666667,0.5375722543352601,-0.4679094352827808,1216.2306777645658,264.0,157.0,217.9,3.3540686303388307,215.48,4,2,4
-6.0,226.2,0.10861423220973783,0.2742579310466956,3763.281807372176,296.0,127.0,201.45,3.321235023191644,217.99,6,3,4
-3.0,216.06666666666666,0.0502092050209205,0.03600809842353757,2766.2520808561235,251.0,112.0,177.24,3.3225867970030687,190.46,3,5,4
-3.0,148.93333333333334,0.2430939226519337,0.6789547918331338,1014.0332936979787,225.0,119.0,158.97,3.347851170470924,162.85,5,5,4
